candidate,event_idx,event_time,beat_idx,grid_time,subdivision,residual_ms,abs_residual_ms,flux,intensity,intensity_confidence,pass_count
current_quarter_snap,175,40.38,88,40.385,downbeat,-5.0,5.0,80.4571,medium,0.66,1
current_quarter_snap,177,40.847,89,40.847,downbeat,0.0,0.0,24.8902,low,0.33,1
current_quarter_snap,181,41.769,91,41.77,downbeat,-1.0,1.0,79.2397,medium,0.66,2
current_quarter_snap,186,42.225,92,42.231,downbeat,-6.0,6.0,37.2243,medium,0.66,1
current_quarter_snap,187,42.693,93,42.693,downbeat,0.0,0.0,40.7751,medium,0.66,2
current_quarter_snap,189,43.148,94,43.154,downbeat,-6.0,6.0,60.7576,medium,0.66,1
current_quarter_snap,194,43.668,95,43.616,downbeat,52.0,52.0,3.8068,low,0.33,1
current_quarter_snap,196,44.54,97,44.539,downbeat,1.0,1.0,178.8737,high,1.0,5
current_quarter_snap,201,44.997,98,45.0,downbeat,-3.0,3.0,85.3648,medium,0.66,2
current_quarter_snap,203,45.462,99,45.462,downbeat,0.0,0.0,293.9835,high,1.0,4
current_quarter_snap,207,45.917,100,45.923,downbeat,-6.0,6.0,105.1191,high,1.0,1
current_quarter_snap,211,46.382,101,46.385,downbeat,-3.0,3.0,58.2589,medium,0.66,1
current_quarter_snap,215,47.308,103,47.308,downbeat,0.0,0.0,286.502,high,1.0,3
current_quarter_snap,220,47.758,104,47.769,downbeat,-11.0,11.0,53.9429,medium,0.66,2
current_quarter_snap,223,48.231,105,48.231,downbeat,0.0,0.0,38.1552,medium,0.66,2
current_quarter_snap,226,48.686,106,48.692,downbeat,-6.0,6.0,54.7122,medium,0.66,2
current_quarter_snap,229,49.151,107,49.154,downbeat,-3.0,3.0,61.6367,medium,0.66,1
current_quarter_snap,233,49.609,108,49.615,downbeat,-6.0,6.0,23.8782,low,0.33,1
current_quarter_snap,235,50.518,110,50.538,downbeat,-20.0,20.0,1036.7345,high,1.0,5
current_quarter_snap,237,51.919,113,51.931,downbeat,-12.0,12.0,51.4632,medium,0.66,1
current_quarter_snap,240,53.287,116,53.307,downbeat,-20.0,20.0,799.5776,high,1.0,5
current_quarter_snap,242,54.69,119,54.7,downbeat,-10.0,10.0,243.1816,high,1.0,4
current_quarter_snap,244,56.057,122,56.076,downbeat,-19.0,19.0,988.3657,high,1.0,5
current_quarter_snap,246,56.564,123,56.555,downbeat,9.0,9.0,5.192,low,0.33,1
